Year,Name,Peak chart position
1999,Swear It Again,1
1999,If I Let You Go,1
1999,Flying Without Wings,1
1999,I Have A Dream / Seasons in the Sun,1
2000,Fool Again,2
2000,My Love,1
2000,What Makes a Man,2
2001,I Lay My Love on You,
2001,Uptown Girl,1
2001,When You’re Looking Like That,
2001,Queen of My Heart,1
2002,World of Our Own,3
2002,Bob Bop Baby,4
2002,Unbreakable,1
2003,Tonight,1
2003,Miss You Nights,
2003,Hey Whatever,2
2003,Mandy,1
2004,Obvious,3
2004,Ain’t That a Kick in the Head?,
2004,Smile,
2005,You Raise Me Up,1
2005,When You Tell Me That You Love Me,2
2006,Amazing,3
2006,The Rose,1
2007,Home,2
2008,Us Against the World,6
2008,Something Right,43
2009,What About Now,2
2010,Safe,4
2011,Lighthouse,11
